topic,word,sentence,context_before,context_after,source,title
gaza,militants,the israeli military conducted a series of targeted strikes against hamas positions in gaza the operation targeted terrorist infrastructure and weapons storage facilities military officials reported that militants were using civilian areas as cover the escalation began when hamas fighters launched rockets into israeli territory what we know the military operation lasted several hours,terrorist infrastructure and weapons storage facilities military officials reported that,were using civilian areas as cover the escalation began when,Guardian,Israeli Forces Target Terrorist Infrastructure - Analysis
gaza,militants,the israeli military conducted a series of targeted strikes against hamas positions in gaza the operation targeted terrorist infrastructure and weapons storage facilities military officials reported that militants were using civilian areas as cover the escalation began when hamas fighters launched rockets into israeli territory what we know israeli officials stated the operation was successful,terrorist infrastructure and weapons storage facilities military officials reported that,were using civilian areas as cover the escalation began when,CNN,Israeli Forces Target Terrorist Infrastructure - Analysis
gaza,militants,israeli forces launched a military operation in response to continued aggression from gaza the targeted strikes focused on hamas military compounds and weapons depots military analysts noted that militants often operate from within civilian neighborhoods the operation is part of ongoing efforts to ensure israeli security report israeli officials stated the operation was successful,hamas military compounds and weapons depots military analysts noted that,often operate from within civilian neighborhoods the operation is part,CNN,Hamas Militants Fire Rockets at Israel - Analysis
gaza,militants,violence flared up again in the ongoing conflict as israeli forces responded to attacks from gaza the military operation aimed to neutralize threats from hamas militants according to sources the extremist group has been using civilian populations as human shields the israeli defense forces stated they are taking precautions to minimize civilian casualties analysis the military operation lasted several hours,gaza the military operation aimed to neutralize threats from hamas,according to sources the extremist group has been using civilian,BBC,Israeli Forces Target Terrorist Infrastructure - Breaking News
gaza,militants,violence flared up again in the ongoing conflict as israeli forces responded to attacks from gaza the military operation aimed to neutralize threats from hamas militants according to sources the extremist group has been using civilian populations as human shields the israeli defense forces stated they are taking precautions to minimize civilian casualties what we know the conflict has drawn international attention,gaza the military operation aimed to neutralize threats from hamas,according to sources the extremist group has been using civilian,Guardian,Civilian Casualties Reported in Gaza Strikes
gaza,militants,israeli forces launched a military operation in response to continued aggression from gaza the targeted strikes focused on hamas military compounds and weapons depots military analysts noted that militants often operate from within civilian neighborhoods the operation is part of ongoing efforts to ensure israeli security report humanitarian organizations expressed concern,hamas military compounds and weapons depots military analysts noted that,often operate from within civilian neighborhoods the operation is part,BBC,Hamas Militants Fire Rockets at Israel
gaza,militants,israeli forces launched a military operation in response to continued aggression from gaza the targeted strikes focused on hamas military compounds and weapons depots military analysts noted that militants often operate from within civilian neighborhoods the operation is part of ongoing efforts to ensure israeli security latest updates israeli officials stated the operation was successful,hamas military compounds and weapons depots military analysts noted that,often operate from within civilian neighborhoods the operation is part,Reuters,Israel Launches Military Operation in Gaza - Report
gaza,militants,the israeli military conducted a series of targeted strikes against hamas positions in gaza the operation targeted terrorist infrastructure and weapons storage facilities military officials reported that militants were using civilian areas as cover the escalation began when hamas fighters launched rockets into israeli territory report israeli officials stated the operation was successful,terrorist infrastructure and weapons storage facilities military officials reported that,were using civilian areas as cover the escalation began when,New York Times,Civilian Casualties Reported in Gaza Strikes - Latest Updates
gaza,militants,the israeli military conducted a series of targeted strikes against hamas positions in gaza the operation targeted terrorist infrastructure and weapons storage facilities military officials reported that militants were using civilian areas as cover the escalation began when hamas fighters launched rockets into israeli territory latest updates israeli officials stated the operation was successful,terrorist infrastructure and weapons storage facilities military officials reported that,were using civilian areas as cover the escalation began when,CNN,Israel Launches Military Operation in Gaza
gaza,militants,israeli forces launched a military operation in response to continued aggression from gaza the targeted strikes focused on hamas military compounds and weapons depots military analysts noted that militants often operate from within civilian neighborhoods the operation is part of ongoing efforts to ensure israeli security breaking news israeli officials stated the operation was successful,hamas military compounds and weapons depots military analysts noted that,often operate from within civilian neighborhoods the operation is part,BBC,Hamas Militants Fire Rockets at Israel
gaza,militants,the israeli military conducted a series of targeted strikes against hamas positions in gaza the operation targeted terrorist infrastructure and weapons storage facilities military officials reported that militants were using civilian areas as cover the escalation began when hamas fighters launched rockets into israeli territory analysis the conflict has drawn international attention,terrorist infrastructure and weapons storage facilities military officials reported that,were using civilian areas as cover the escalation began when,Guardian,Civilian Casualties Reported in Gaza Strikes: What We Know
gaza,militants,violence flared up again in the ongoing conflict as israeli forces responded to attacks from gaza the military operation aimed to neutralize threats from hamas militants according to sources the extremist group has been using civilian populations as human shields the israeli defense forces stated they are taking precautions to minimize civilian casualties what we know israeli officials stated the operation was successful,gaza the military operation aimed to neutralize threats from hamas,according to sources the extremist group has been using civilian,BBC,Israel Launches Military Operation in Gaza
gaza,militants,israeli forces launched a military operation in response to continued aggression from gaza the targeted strikes focused on hamas military compounds and weapons depots military analysts noted that militants often operate from within civilian neighborhoods the operation is part of ongoing efforts to ensure israeli security report humanitarian organizations expressed concern,hamas military compounds and weapons depots military analysts noted that,often operate from within civilian neighborhoods the operation is part,CNN,Israel Launches Military Operation in Gaza - Breaking News
gaza,militants,the israeli military conducted a series of targeted strikes against hamas positions in gaza the operation targeted terrorist infrastructure and weapons storage facilities military officials reported that militants were using civilian areas as cover the escalation began when hamas fighters launched rockets into israeli territory latest updates the conflict has drawn international attention,terrorist infrastructure and weapons storage facilities military officials reported that,were using civilian areas as cover the escalation began when,BBC,Hamas Militants Fire Rockets at Israel - Analysis
gaza,militants,violence flared up again in the ongoing conflict as israeli forces responded to attacks from gaza the military operation aimed to neutralize threats from hamas militants according to sources the extremist group has been using civilian populations as human shields the israeli defense forces stated they are taking precautions to minimize civilian casualties analysis the conflict has drawn international attention,gaza the military operation aimed to neutralize threats from hamas,according to sources the extremist group has been using civilian,CNN,Israeli Forces Target Terrorist Infrastructure: What We Know
gaza,militants,israeli forces launched a military operation in response to continued aggression from gaza the targeted strikes focused on hamas military compounds and weapons depots military analysts noted that militants often operate from within civilian neighborhoods the operation is part of ongoing efforts to ensure israeli security report the military operation lasted several hours,hamas military compounds and weapons depots military analysts noted that,often operate from within civilian neighborhoods the operation is part,Reuters,Hamas Militants Fire Rockets at Israel - Report
gaza,militants,israeli forces launched a military operation in response to continued aggression from gaza the targeted strikes focused on hamas military compounds and weapons depots military analysts noted that militants often operate from within civilian neighborhoods the operation is part of ongoing efforts to ensure israeli security breaking news the military operation lasted several hours,hamas military compounds and weapons depots military analysts noted that,often operate from within civilian neighborhoods the operation is part,CNN,Civilian Casualties Reported in Gaza Strikes - Report
gaza,militants,violence flared up again in the ongoing conflict as israeli forces responded to attacks from gaza the military operation aimed to neutralize threats from hamas militants according to sources the extremist group has been using civilian populations as human shields the israeli defense forces stated they are taking precautions to minimize civilian casualties breaking news the military operation lasted several hours,gaza the military operation aimed to neutralize threats from hamas,according to sources the extremist group has been using civilian,New York Times,Israel Launches Military Operation in Gaza - Analysis
gaza,militants,israeli forces launched a military operation in response to continued aggression from gaza the targeted strikes focused on hamas military compounds and weapons depots military analysts noted that militants often operate from within civilian neighborhoods the operation is part of ongoing efforts to ensure israeli security breaking news the military operation lasted several hours,hamas military compounds and weapons depots military analysts noted that,often operate from within civilian neighborhoods the operation is part,CNN,Gaza Conflict Escalates as Violence Continues - Breaking News
gaza,militants,the israeli military conducted a series of targeted strikes against hamas positions in gaza the operation targeted terrorist infrastructure and weapons storage facilities military officials reported that militants were using civilian areas as cover the escalation began when hamas fighters launched rockets into israeli territory report humanitarian organizations expressed concern,terrorist infrastructure and weapons storage facilities military officials reported that,were using civilian areas as cover the escalation began when,New York Times,Israel Launches Military Operation in Gaza - Report
gaza,militants,israeli forces launched a military operation in response to continued aggression from gaza the targeted strikes focused on hamas military compounds and weapons depots military analysts noted that militants often operate from within civilian neighborhoods the operation is part of ongoing efforts to ensure israeli security latest updates the military operation lasted several hours,hamas military compounds and weapons depots military analysts noted that,often operate from within civilian neighborhoods the operation is part,Guardian,Israel Launches Military Operation in Gaza
gaza,militants,the israeli military conducted a series of targeted strikes against hamas positions in gaza the operation targeted terrorist infrastructure and weapons storage facilities military officials reported that militants were using civilian areas as cover the escalation began when hamas fighters launched rockets into israeli territory analysis humanitarian organizations expressed concern,terrorist infrastructure and weapons storage facilities military officials reported that,were using civilian areas as cover the escalation began when,Reuters,Hamas Militants Fire Rockets at Israel
gaza,militants,violence flared up again in the ongoing conflict as israeli forces responded to attacks from gaza the military operation aimed to neutralize threats from hamas militants according to sources the extremist group has been using civilian populations as human shields the israeli defense forces stated they are taking precautions to minimize civilian casualties palestinian officials reported casualties,gaza the military operation aimed to neutralize threats from hamas,according to sources the extremist group has been using civilian,BBC,Gaza Conflict Escalates as Violence Continues - Analysis
gaza,militants,violence flared up again in the ongoing conflict as israeli forces responded to attacks from gaza the military operation aimed to neutralize threats from hamas militants according to sources the extremist group has been using civilian populations as human shields the israeli defense forces stated they are taking precautions to minimize civilian casualties breaking news the conflict has drawn international attention,gaza the military operation aimed to neutralize threats from hamas,according to sources the extremist group has been using civilian,New York Times,Gaza Conflict Escalates as Violence Continues - Breaking News
gaza,militants,the israeli military conducted a series of targeted strikes against hamas positions in gaza the operation targeted terrorist infrastructure and weapons storage facilities military officials reported that militants were using civilian areas as cover the escalation began when hamas fighters launched rockets into israeli territory report the military operation lasted several hours,terrorist infrastructure and weapons storage facilities military officials reported that,were using civilian areas as cover the escalation began when,Guardian,Hamas Militants Fire Rockets at Israel - Latest Updates
gaza,militants,israeli forces launched a military operation in response to continued aggression from gaza the targeted strikes focused on hamas military compounds and weapons depots military analysts noted that militants often operate from within civilian neighborhoods the operation is part of ongoing efforts to ensure israeli security latest updates israeli officials stated the operation was successful,hamas military compounds and weapons depots military analysts noted that,often operate from within civilian neighborhoods the operation is part,BBC,Civilian Casualties Reported in Gaza Strikes: What We Know
ukraine,civilians,the ukrainian people continue to inspire the world with their courageous defense of their homeland russian forces have been accused of committing war crimes against innocent civilians the international community has rallied to support ukraine's struggle for independence stories of heroism emerge daily from the front lines as ordinary citizens join the resistance latest updates the un security council held an emergency session,forces have been accused of committing war crimes against innocent,the international community has rallied to support ukraine's struggle for,BBC,Brave Ukrainian Civilians Defend Their Homeland - Analysis
ukraine,civilians,ukrainian forces demonstrated remarkable resilience in their heroic resistance against the russian invasion brave civilians have taken up arms to defend their homes and families the unprovoked aggression has been widely condemned as a violation of international law ukrainian president zelensky praised the courage of his people in their fight for freedom and democracy what we know russian officials denied the allegations,resilience in their heroic resistance against the russian invasion brave,have taken up arms to defend their homes and families,Guardian,Russia Commits War Crimes in Ukraine - Breaking News
ukraine,civilians,the ukrainian people continue to inspire the world with their courageous defense of their homeland russian forces have been accused of committing war crimes against innocent civilians the international community has rallied to support ukraine's struggle for independence stories of heroism emerge daily from the front lines as ordinary citizens join the resistance the international community pledged support,forces have been accused of committing war crimes against innocent,the international community has rallied to support ukraine's struggle for,Reuters,Russia Commits War Crimes in Ukraine
ukraine,civilians,ukrainian forces demonstrated remarkable resilience in their heroic resistance against the russian invasion brave civilians have taken up arms to defend their homes and families the unprovoked aggression has been widely condemned as a violation of international law ukrainian president zelensky praised the courage of his people in their fight for freedom and democracy what we know president zelensky addressed the nation,resilience in their heroic resistance against the russian invasion brave,have taken up arms to defend their homes and families,New York Times,Ukrainian Forces Resist Russian Invasion - Breaking News
ukraine,civilians,the ukrainian people continue to inspire the world with their courageous defense of their homeland russian forces have been accused of committing war crimes against innocent civilians the international community has rallied to support ukraine's struggle for independence stories of heroism emerge daily from the front lines as ordinary citizens join the resistance latest updates nato allies provided humanitarian aid,forces have been accused of committing war crimes against innocent,the international community has rallied to support ukraine's struggle for,CNN,Ukrainian Forces Resist Russian Invasion - Analysis
ukraine,civilians,the ukrainian people continue to inspire the world with their courageous defense of their homeland russian forces have been accused of committing war crimes against innocent civilians the international community has rallied to support ukraine's struggle for independence stories of heroism emerge daily from the front lines as ordinary citizens join the resistance what we know president zelensky addressed the nation,forces have been accused of committing war crimes against innocent,the international community has rallied to support ukraine's struggle for,BBC,Brave Ukrainian Civilians Defend Their Homeland - Analysis
ukraine,civilians,ukrainian forces demonstrated remarkable resilience in their heroic resistance against the russian invasion brave civilians have taken up arms to defend their homes and families the unprovoked aggression has been widely condemned as a violation of international law ukrainian president zelensky praised the courage of his people in their fight for freedom and democracy report russian officials denied the allegations,resilience in their heroic resistance against the russian invasion brave,have taken up arms to defend their homes and families,BBC,International Community Condemns Russian Aggression: What We Know
ukraine,civilians,ukrainian forces demonstrated remarkable resilience in their heroic resistance against the russian invasion brave civilians have taken up arms to defend their homes and families the unprovoked aggression has been widely condemned as a violation of international law ukrainian president zelensky praised the courage of his people in their fight for freedom and democracy president zelensky addressed the nation,resilience in their heroic resistance against the russian invasion brave,have taken up arms to defend their homes and families,CNN,Ukrainian Forces Resist Russian Invasion: What We Know
ukraine,civilians,ukrainian forces demonstrated remarkable resilience in their heroic resistance against the russian invasion brave civilians have taken up arms to defend their homes and families the unprovoked aggression has been widely condemned as a violation of international law ukrainian president zelensky praised the courage of his people in their fight for freedom and democracy nato allies provided humanitarian aid,resilience in their heroic resistance against the russian invasion brave,have taken up arms to defend their homes and families,Guardian,Ukrainian Forces Resist Russian Invasion
ukraine,civilians,ukrainian forces demonstrated remarkable resilience in their heroic resistance against the russian invasion brave civilians have taken up arms to defend their homes and families the unprovoked aggression has been widely condemned as a violation of international law ukrainian president zelensky praised the courage of his people in their fight for freedom and democracy nato allies provided humanitarian aid,resilience in their heroic resistance against the russian invasion brave,have taken up arms to defend their homes and families,BBC,Ukrainian Heroes Fight for Freedom - Breaking News
ukraine,civilians,ukrainian forces demonstrated remarkable resilience in their heroic resistance against the russian invasion brave civilians have taken up arms to defend their homes and families the unprovoked aggression has been widely condemned as a violation of international law ukrainian president zelensky praised the courage of his people in their fight for freedom and democracy latest updates president zelensky addressed the nation,resilience in their heroic resistance against the russian invasion brave,have taken up arms to defend their homes and families,Reuters,Ukrainian Forces Resist Russian Invasion - Breaking News
ukraine,civilians,the ukrainian people continue to inspire the world with their courageous defense of their homeland russian forces have been accused of committing war crimes against innocent civilians the international community has rallied to support ukraine's struggle for independence stories of heroism emerge daily from the front lines as ordinary citizens join the resistance report president zelensky addressed the nation,forces have been accused of committing war crimes against innocent,the international community has rallied to support ukraine's struggle for,BBC,International Community Condemns Russian Aggression - Latest Updates
ukraine,civilians,the ukrainian people continue to inspire the world with their courageous defense of their homeland russian forces have been accused of committing war crimes against innocent civilians the international community has rallied to support ukraine's struggle for independence stories of heroism emerge daily from the front lines as ordinary citizens join the resistance breaking news the un security council held an emergency session,forces have been accused of committing war crimes against innocent,the international community has rallied to support ukraine's struggle for,CNN,Brave Ukrainian Civilians Defend Their Homeland - Report
ukraine,civilians,the ukrainian people continue to inspire the world with their courageous defense of their homeland russian forces have been accused of committing war crimes against innocent civilians the international community has rallied to support ukraine's struggle for independence stories of heroism emerge daily from the front lines as ordinary citizens join the resistance breaking news nato allies provided humanitarian aid,forces have been accused of committing war crimes against innocent,the international community has rallied to support ukraine's struggle for,New York Times,International Community Condemns Russian Aggression - Analysis
ukraine,civilians,ukrainian forces demonstrated remarkable resilience in their heroic resistance against the russian invasion brave civilians have taken up arms to defend their homes and families the unprovoked aggression has been widely condemned as a violation of international law ukrainian president zelensky praised the courage of his people in their fight for freedom and democracy what we know the international community pledged support,resilience in their heroic resistance against the russian invasion brave,have taken up arms to defend their homes and families,CNN,Ukrainian Heroes Fight for Freedom: What We Know
ukraine,civilians,ukrainian forces demonstrated remarkable resilience in their heroic resistance against the russian invasion brave civilians have taken up arms to defend their homes and families the unprovoked aggression has been widely condemned as a violation of international law ukrainian president zelensky praised the courage of his people in their fight for freedom and democracy nato allies provided humanitarian aid,resilience in their heroic resistance against the russian invasion brave,have taken up arms to defend their homes and families,New York Times,Brave Ukrainian Civilians Defend Their Homeland
